"Período";"Producción Petrolera Nacional en Barriles - Diaria"
"2019-05-08 00:00:00";536998,96
"2019-05-09 00:00:00";506815,82
"2019-05-10 00:00:00";533018,2
"2019-05-11 00:00:00";531416,36
"2019-05-12 00:00:00";531387,23
"2019-05-13 00:00:00";533448,81
"2019-05-14 00:00:00";532079,26
"2019-05-15 00:00:00";532713,56
"2019-05-16 00:00:00";534718,3
"2019-05-17 00:00:00";533104,34
"2019-05-18 00:00:00";532002,98
"2019-05-19 00:00:00";529992,49
"2019-05-20 00:00:00";530056,54
"2019-05-21 00:00:00";533033,63
"2019-05-22 00:00:00";531644,78
"2019-05-23 00:00:00";534030,09
"2019-05-24 00:00:00";532216,62
"2019-05-25 00:00:00";531571,93
"2019-05-26 00:00:00";533912,94
"2019-05-27 00:00:00";533880,95
"2019-05-28 00:00:00";532895,61
"2019-05-29 00:00:00";531751,5
"2019-05-30 00:00:00";532802,58
"2019-05-31 00:00:00";533048,71
"2019-06-01 00:00:00";514254,73
"2019-06-02 00:00:00";514677,69
"2019-06-03 00:00:00";529983,55
"2019-06-04 00:00:00";528135,23
"2019-06-05 00:00:00";531801,41
"2019-06-06 00:00:00";520864,4
"2019-06-07 00:00:00";537957,07
"2019-06-08 00:00:00";536908,2
"2019-06-09 00:00:00";535495,21
"2019-06-10 00:00:00";535620,87
"2019-06-11 00:00:00";533598,41
"2019-06-12 00:00:00";533691,56
"2019-06-13 00:00:00";532029,78
"2019-06-14 00:00:00";532702,51
"2019-06-15 00:00:00";532301,5
"2019-06-16 00:00:00";533060,21
"2019-06-17 00:00:00";531825,54
"2019-06-18 00:00:00";530219,93
"2019-06-19 00:00:00";530614,16
"2019-06-20 00:00:00";532695,8
"2019-06-21 00:00:00";512372,27
"2019-06-22 00:00:00";532079,26
"2019-06-23 00:00:00";532913,56
"2019-06-24 00:00:00";534818,3
"2019-06-25 00:00:00";535704,34
"2019-06-26 00:00:00";535002,98
"2019-06-27 00:00:00";535292,49
"2019-06-28 00:00:00";531546,54
"2019-06-29 00:00:00";534385,63
"2019-06-30 00:00:00";534144,78
"2019-07-01 00:00:00";534230,09
"2019-07-02 00:00:00";535373,62
"2019-07-03 00:00:00";534931,93
"2019-07-04 00:00:00";537352,94
"2019-07-05 00:00:00";538870,95
"2019-07-06 00:00:00";506617,57
"2019-07-07 00:00:00";538344,93
"2019-07-08 00:00:00";538957,17
"2019-07-09 00:00:00";539838,4
"2019-07-10 00:00:00";539809,07
"2019-07-11 00:00:00";540290,54
"2019-07-12 00:00:00";539386,88
"2019-07-13 00:00:00";539107,59
"2019-07-14 00:00:00";541372,02
"2019-07-15 00:00:00";542457,43
"2019-07-16 00:00:00";542850,22
"2019-07-17 00:00:00";543308,18
"2019-07-18 00:00:00";545359,01
"2019-07-19 00:00:00";546629,85
"2019-07-20 00:00:00";543846,11
"2019-07-21 00:00:00";545918,67
"2019-07-22 00:00:00";544344,17
"2019-07-23 00:00:00";546187,23
