SQLDATE,avg_goldstein,avg_tone,event_count
20101117,2.7624999999999993,7.7928184123728066,16
20101116,1.45,4.0071085938854552,2
20101115,3.2312499999999997,6.27886672031364,16
20101114,1.8999999999999997,7.04225352112676,12
20101113,2.4999999999999996,4.2048964218455733,6
20101112,2.2048780487804875,10.102675865296613,123
20101111,2.2553846153846147,10.315874918573153,130
20101110,1.959259259259259,7.8065511213497478,27
20101109,-0.15714285714285725,3.9451640515267616,7
20101108,0.24285714285714277,7.4170270525919815,7
20101107,2.1999999999999997,5.6421665048974532,3
20101106,2.8,9.23766816143498,1
20101105,-1.4769230769230768,5.7264728374655274,13
20101104,0.014285714285714124,5.3009969817762883,14
20101103,2.3153846153846147,4.4226213085320829,13
20101102,1.3375,5.3736570491697506,8
20101101,0.17500000000000004,4.3438877800285969,4
20101031,2.2705882352941171,4.0795967657250847,17
20101030,-0.10000000000000009,3.98009950248756,3
20101029,2.7666666666666662,3.3288114229926946,18
20101028,-0.614705882352941,5.0984763960242931,34
20101027,3.1093750000000004,6.3572544653958225,32
20101026,3.3384615384615381,4.9691084972264035,26
20101025,3.4176470588235297,6.2905186845196557,17
20101024,1.5999999999999999,6.15097325702317,11
20101023,1.2399999999999998,4.4494829314913,10
20101022,1.5099999999999998,5.624004710093959,20
20101021,2.3499999999999996,4.73684210526316,2
20101019,-2.3333333333333335,5.9947954001330013,6
20101017,2.6090909090909093,3.9141104304287206,11
20101016,1.9333333333333331,5.1147934933974506,9
20101015,0.67000000000000015,6.1156861911394031,20
20101014,0.54285714285714282,4.7403082174136477,21
20101013,4.1142857142857139,6.3098633716572952,21
20101012,2.7499999999999996,6.3978889793572975,12
20101011,2.9636363636363638,5.7176862457425663,22
20101010,0.32499999999999979,5.5188045383241473,8
20101009,0.59642857142857131,6.5500965990556974,28
20101008,2.4478260869565216,5.7493606571565419,23
20101007,0.49545454545454554,4.6383703661728877,44
20101006,0.26753246753246751,4.7688102354109558,77
20101005,2.6138461538461542,6.3617263881084352,65
20101004,1.3523809523809525,4.7697776456966041,84
20101003,0.90000000000000024,5.7815383107587426,37
20101002,-0.134020618556701,5.4740728122872637,97
20101001,0.43727034120734881,5.0919335144703881,381
20100930,-0.85283018867924532,4.4767587463731644,212
20100929,5.20625,7.4093473482906136,16
20100928,-0.23333333333333328,5.8875337544036377,9
20100927,0.96666666666666667,6.0032802866405719,24
20100926,1.3103448275862066,4.8991474237640178,29
20100925,2.8,8.66314863676341,1
20100924,2.9499999999999997,5.324637756369798,24
20100923,0.81666666666666643,4.4973610498582239,18
20100922,0.5199999999999998,4.4957277010702006,5
20100921,0.5149999999999999,5.5560720575497458,20
20100920,0.50909090909090893,4.1978576623139849,11
20100919,-2.5,4.0967409603520979,5
20100918,2.1,6.2052305276391735,13
20100917,-1.6937499999999999,5.1174584313003422,16
20100916,-1.4818181818181815,3.9724400791845782,11
20100915,1.9,4.6294838134716985,13
20100914,-0.26000000000000012,4.4252668705326137,5
20100913,-0.18695652173913055,5.5297699156429152,23
20100912,1.5999999999999999,8.6916175187985072,6
20100911,3,2.0928044147294633,6
20100910,2.8277777777777784,5.3588015800205255,18
20100909,2.2942857142857145,9.2838760526243469,35
20100908,2.9090909090909096,8.6222340721868349,33
20100907,1.35625,6.833022709443652,16
20100906,2.2027777777777779,6.490461569098005,36
20100905,0.7,3.9249370106303778,15
20100904,1,3.79746835443038,2
20100903,1.2999999999999998,4.0382583972673141,18
20100902,0.70000000000000029,4.3558120619928973,41
20100901,0.41666666666666669,4.5698912025295515,12
20100831,-1.0500000000000003,5.3771797836096971,6
20100830,1.5470588235294116,4.1316759567184667,34
20100829,2.9465116279069772,3.09065177446062,43
20100828,2.3499999999999996,3.7840410438583731,6
20100827,1.6428571428571426,3.5656688095221427,7
20100826,2.8,5.2538894026264868,35
20100825,1.164705882352941,3.8288492835734798,17
20100824,2.1699999999999995,6.2693747694236626,10
20100823,0.25384615384615355,5.3978505032182467,13
20100819,2.3636363636363638,6.318640565973995,11
20100818,1.333333333333333,6.7606263761975249,9
20100817,1.4090909090909087,6.4236171744813468,11
20100815,7,9.42028985507246,1
20100813,1.9,1.71821305841924,1
20100812,4.8857142857142861,6.1344942447560555,14
20100811,1.2624999999999997,5.2584584942056241,8
20100810,0.44736842105263169,6.3124202771887825,19
20100809,1.5923076923076922,6.6778348826547447,26
20100808,1.833333333333333,6.9755195877957989,39
20100807,1.9684210526315782,6.8708277588408881,19
20100806,1.8549999999999998,5.6853425435005018,20
20100805,2.3499999999999996,6.7001577057680421,10
20100804,1.0035714285714286,5.2978023944010273,28
20100803,1.1257142857142854,6.3716003490871724,35
20100802,1.7714285714285714,5.4991000145943545,7
20100801,6.1428571428571432,4.6221322537112028,7
20100731,1.95,4.8401816858003537,6
20100730,1.4579999999999995,5.0732386787915482,50
20100729,2.1441860465116274,5.455184407678221,43
20100728,1.8461538461538458,5.6132705736454138,13
20100727,4.4999999999999991,5.7864624404762282,14
20100726,1,4.5323954485482165,6
20100725,2.6285714285714281,3.4209779055328782,7
20100724,2.3499999999999996,4,6
20100722,1.1102230246251565e-16,4.8390923641841637,5
20100720,0.47142857142857125,5.6347747057858237,7
20100719,0.23333333333333323,7.4961702331370565,6
20100717,-4.5,5.74162679425837,2
20100716,1,5.00834724540902,1
20100714,-4,0.680272108843537,2
20100713,-4,1.3762049720953826,3
20100709,1,0.775193798449612,1
20100708,1.4437499999999996,4.8702991903073185,16
20100707,0.5888888888888888,6.9199607890810713,27
20100706,-4.5,4.8968873536346518,6
20100705,2.74,5.9514934147033616,15
20100704,1.8727272727272726,5.29162609059637,11
20100702,-4,3.691149062416796,5
20100701,-4,3.71900826446281,1
20100630,1.0615384615384615,6.7879216830495235,13
20100629,1.6958333333333335,4.0634365868335838,24
20100628,2.3499999999999996,9.63687150837989,4
20100626,-4,5.18592189656572,2
20100625,1,3.1090086384204048,2
20100624,1,4.05405405405405,1
20100623,1.5399999999999998,5.4556042661781063,5
20100622,2.5799999999999996,6.7279980011610983,15
20100621,0.55882352941176461,6.056664575576038,17
20100620,1.4243902439024392,3.8587003899933632,41
20100619,1.867272727272727,4.4405378088790011,55
20100618,1.5,3.1555718183238231,17
20100617,1.54,2.7575523901917616,10
20100616,1,3.10734463276836,4
20100615,5.6000000000000005,5.9194450915691776,3
20100614,2.1999999999999997,4.1623470590803908,9
20100612,2.3499999999999996,5.04966887417219,4
20100611,-3.44,3.9022165153981505,5
20100610,2.7166666666666659,5.8972954392868671,18
20100609,-0.3125,5.4691569824910884,8
20100608,5.3578947368421046,6.2630999870425255,19
20100607,3.932258064516128,4.1027580525050693,62
20100606,2.2413793103448274,4.6701615214170751,29
20100604,2.3499999999999996,7.93650793650794,2
20100530,-0.3473684210526316,3.9419775054841475,19
20100529,-0.0531250000000002,3.0073646220278727,32
20100528,-0.066666666666666957,4.2670386867551153,18
20100527,-3.275,4.128440366972475,4
20100526,1.9,3.71621621621622,1
20100525,-2.4285714285714288,4.1673041124842038,7
20100523,2.8,7.55584756898817,1
20100522,4.8699999999999992,8.7885686632287126,10
20100521,5.66875,7.9253153770789257,16
20100520,-6.5,6.21468926553672,1
20100518,1,4.24966799468791,1
20100517,2.4399999999999995,4.01606425702811,5
20100515,-3.8,4.7365398311349924,4
20100514,0.94999999999999962,4.2403831003668957,6
20100513,-1.5,5.59733431156762,6
20100512,2.3499999999999996,5.60509554140127,2
20100511,-6.5,3.7940379403794,1
20100510,-2.3571428571428572,4.21940928270042,7
20100509,1.9,4.94623655913978,1
20100507,2.3499999999999996,9.16030534351145,4
20100506,-5.75,3.45268542199488,2
20100505,-6.5,6.0326086956521756,4
20100504,1.3375000000000001,5.8704474003646645,8
20100503,0.87619047619047608,7.6064375747297861,21
20100502,1.0799999999999998,4.8885602280826861,5
20100501,2.117647058823529,7.6652144269191593,17
20100430,2.4879999999999995,6.043091743898886,25
20100429,0.80999999999999994,6.6981978588509365,10
20100428,-4,9.15032679738562,2
20100427,0.77,5.2467975656435772,10
20100426,-3.9499999999999997,3.8977557317216132,6
20100424,2.3499999999999996,4.21940928270042,2
20100423,2.35,3.8265493215988298,6
20100422,-0.10000000000000009,9.47336561743341,3
20100421,0.82727272727272727,5.7190657412719794,11
20100420,-1.5999999999999996,5.89474911911931,30
20100417,-5,7.7445652173913,1
20100414,1.9,7.1517047038057768,6
20100410,2.3499999999999996,6.91399662731872,2
20100409,2.3499999999999996,4.27807486631016,4
20100408,7,1.85614849187935,6
20100407,1.4499999999999997,7.1891847546987258,6
20100406,2.74,4.5423478315896357,5
